tt0000014,['Comedy'],Arroseur et arrosé,1895-12-27,7.0,44,"['nconst', 'category']"
tt0015016,['Western'],The Iron Horse,1924-08-24,7.1,11,"['nm0318647', 'producer']","['nm0639563', 'actor']","['nm0068705', 'actress']","['nm0119957', 'actor']","['nm0149477', 'actor']","['nm0000406', 'director']","['nm0448981', 'writer']","['nm0751246', 'writer']","['nm0201544', 'writer']","['nm0002206', 'producer']"
tt0015039,['Documentary'],Кино-Глаз на первой разведке.,1924-10-31,7.8,4,"['nm0895048', 'director']","['nm0442227', 'cinematographer']","['nm0841294', 'editor']"
tt0015064,['Drama'],Der letzte Mann,1924-12-23,7.7,63,"['nm2328000', 'composer']","['nm0417837', 'actor']","['nm0217848', 'actress']","['nm0384897', 'actor']","['nm0476130', 'actress']","['nm0003638', 'director']","['nm0562346', 'writer']","['nm0690143', 'producer']","['nm0005959', 'composer']","['nm0110640', 'composer']"
tt0015136,"['Romance', 'Drama']",Michael,1924-01-01,8.3,4,"['nm0005713', 'cinematographer']","['nm0805790', 'actor']","['nm0159725', 'actor']","['nm0339669', 'actress']","['nm0615407', 'actor']","['nm0003433', 'director']","['nm0051911', 'writer']","['nm0902376', 'writer']","['nm0690143', 'producer']","['nm0896866', 'composer']"
tt0015163,"['Action', 'Comedy']",The Navigator,1924-10-13,7.3,38,"['nm0396327', 'cinematographer']","['nm0000036', 'actor']","['nm0570230', 'actress']","['nm0089162', 'actor']","['nm0123548', 'actor']","['nm0187981', 'director']","['nm0115669', 'writer']","['nm0593477', 'writer']","['nm0369841', 'writer']","['nm0004592', 'composer']"
tt0015174,"['Adventure', 'Drama', 'Fantasy']",Die Nibelungen: Kriemhilds Rache,1924-04-25,7.5,14,"['nm0084430', 'actor']","['nm0778159', 'actress']","['nm0036459', 'actress']","['nm0519765', 'actor']","['nm0611052', 'actor']","['nm0000485', 'director']","['nm0902376', 'writer']","['nm0403288', 'composer']","['nm0389155', 'cinematographer']","['nm0005844', 'cinematographer']"
tt0015175,"['Adventure', 'Drama', 'Fantasy']",Die Nibelungen: Siegfried,1924-02-13,7.7,19,"['nm0389155', 'cinematographer']","['nm0725332', 'actor']","['nm0778159', 'actress']","['nm0519765', 'actor']","['nm0036459', 'actress']","['nm0000485', 'director']","['nm0902376', 'writer']","['nm0690143', 'producer']","['nm0403288', 'composer']","['nm0003471', 'composer']"
tt0015268,"['Crime', 'Drama']",The Red Lily,1924-09-08,7.0,1,"['nm0003895', 'actor']","['nm0071746', 'actress']","['nm0193005', 'actor']","['nm0507568', 'actor']","['nm0629243', 'director']","['nm0580648', 'writer']","['nm1242185', 'composer']","['nm0005800', 'cinematographer']","['nm0636475', 'editor']"
tt0015324,"['Fantasy', 'Drama', 'Comedy', 'Mystery']","Sherlock, Jr.",1924-04-21,8.1,134,"['nm0504380', 'cinematographer']","['nm0000036', 'actor']","['nm0570230', 'actress']","['nm0444172', 'actor']","['nm0175068', 'actor']","['nm0369841', 'writer']","['nm0593477', 'writer']","['nm0115669', 'writer']","['nm3816287', 'composer']","['nm0396327', 'cinematographer']"
tt0015361,['Drama'],Стачка,1925-04-28,7.2,29,"['nm0691364', 'cinematographer']","['nm0017893', 'actor']","['nm0795500', 'actor']","['nm0327150', 'actor']","['nm0412045', 'actor']","['nm0001178', 'director']","['nm0470402', 'writer']","['nm0687244', 'writer']","['nm0586506', 'producer']","['nm0452050', 'cinematographer']"
